Name	Subtitle	Acceleration	TopSpeed	Range	Efficiency	FastChargeSpeed	Drive	NumberofSeats	PriceinGermany	PriceinUK
Skoda Enyaq iV 80X	Battery Electric Vehicle |       77 kWh	6.9 sec	160 km/h	405 km	190 Wh/km	500 km/h	All Wheel Drive	5	EUR47.000	BGP42.000
Skoda Enyaq iV RS	Battery Electric Vehicle |       77 kWh	6.2 sec	180 km/h	395 km	195 Wh/km	480 km/h	All Wheel Drive	5	EUR50.000	BGP45.000
Fiat 500e Hatchback 42 kWh	Battery Electric Vehicle |       37.3 kWh 	9.0 sec	150 km/h	250 km	149 Wh/km	420 km/h	Front Wheel Drive	4	EUR27.560	BGP23.995
Citroen e-C4 	Battery Electric Vehicle |       45 kWh 	9.7 sec	150 km/h	250 km	180 Wh/km	330 km/h	Front Wheel Drive	5	EUR34.640	BGP30.895
Jaguar I-Pace EV400	Battery Electric Vehicle |       84.7 kWh	4.8 sec	200 km/h	365 km	232 Wh/km	340 km/h	All Wheel Drive	5	EUR77.300	BGP65.195
Kia e-Soul 64 kWh	Battery Electric Vehicle |       64 kWh	7.9 sec	167 km/h	370 km	173 Wh/km	350 km/h	Front Wheel Drive	5	EUR37.790	N/A
Kia e-Soul 39 kWh	Battery Electric Vehicle |       39.2 kWh	9.9 sec	157 km/h	230 km	170 Wh/km	220 km/h	Front Wheel Drive	5	EUR33.990	N/A
Audi Q4 Sportback e-tron 35	Battery Electric Vehicle |       51.5 kWh	9.0 sec	160 km/h	295 km	175 Wh/km	410 km/h	Rear Wheel Drive	5	EUR43.900	BGP42.250
Nissan Ariya 63kWh	Battery Electric Vehicle |       63 kWh	7.5 sec	160 km/h	335 km	188 Wh/km	450 km/h	Front Wheel Drive	5	EUR45.000	BGP40.000
Nissan Ariya 87kWh	Battery Electric Vehicle |       87 kWh	7.6 sec	160 km/h	445 km	196 Wh/km	530 km/h	Front Wheel Drive	5	EUR50.000	BGP45.000
Nissan Ariya e-4ORCE 63kWh	Battery Electric Vehicle |       63 kWh	5.9 sec	200 km/h	325 km	194 Wh/km	440 km/h	All Wheel Drive	5	EUR50.000	BGP45.000
Nissan Ariya e-4ORCE 87kWh	Battery Electric Vehicle |       87 kWh	5.7 sec	200 km/h	420 km	207 Wh/km	500 km/h	All Wheel Drive	5	EUR57.500	BGP52.500
Nissan Ariya e-4ORCE 87kWh Performance	Battery Electric Vehicle |       87 kWh	5.1 sec	200 km/h	385 km	226 Wh/km	460 km/h	All Wheel Drive	5	EUR65.000	BGP57.500
Volkswagen ID.3 Pro Performance	Battery Electric Vehicle |       58 kWh	7.3 sec	160 km/h	350 km	166 Wh/km	440 km/h	Rear Wheel Drive	5	EUR36.495	BGP29.740
MG MG5 EV	Battery Electric Vehicle |       48.8 kWh	7.7 sec	185 km/h	295 km	165 Wh/km	340 km/h	Front Wheel Drive	5	N/A	BGP25.095
Volkswagen ID.4 Pro Performance	Battery Electric Vehicle |       77 kWh	8.5 sec	160 km/h	410 km	188 Wh/km	500 km/h	Rear Wheel Drive	5	EUR44.450	BGP41.570
Mercedes EQV 300 Extra-Long	Battery Electric Vehicle |       90 kWh	12.1 sec	160 km/h	320 km	281 Wh/km	280 km/h	Front Wheel Drive	7	EUR72.281	N/A
Lucid Air Grand Touring	Battery Electric Vehicle |       110 kWh 	3.2 sec	270 km/h	660 km	167 Wh/km	1380 km/h	All Wheel Drive	5	EUR140.000	BGP125.000
Lucid Air Touring	Battery Electric Vehicle |       85 kWh 	3.4 sec	250 km/h	530 km	160 Wh/km	1390 km/h	All Wheel Drive	5	EUR95.000	BGP90.000
Lucid Air Pure	Battery Electric Vehicle |       85 kWh 	4.2 sec	200 km/h	540 km	157 Wh/km	1410 km/h	Rear Wheel Drive	5	EUR80.000	BGP70.000
Dacia Spring Electric	Battery Electric Vehicle |       26.8 kWh 	15.0 sec	125 km/h	170 km	158 Wh/km	120 km/h	Front Wheel Drive	4	EUR20.490	N/A
Tesla Model 3 Standard Range Plus LFP	Battery Electric Vehicle |       51 kWh 	5.6 sec	225 km/h	340 km	150 Wh/km	570 km/h	Rear Wheel Drive	5	EUR43.560	BGP40.990
Tesla Model 3 Long Range Dual Motor	Battery Electric Vehicle |       70 kWh 	4.4 sec	233 km/h	455 km	154 Wh/km	570 km/h	All Wheel Drive	5	N/A	BGP48.490
Tesla Model 3 Performance	Battery Electric Vehicle |       76 kWh 	3.3 sec	261 km/h	470 km	162 Wh/km	790 km/h	All Wheel Drive	5	EUR58.560	BGP59.990
Fiat 500e Hatchback 24 kWh	Battery Electric Vehicle |       23.8 kWh 	9.5 sec	135 km/h	165 km	144 Wh/km	260 km/h	Front Wheel Drive	4	EUR23.560	BGP20.495
Fiat 500e 3+1	Battery Electric Vehicle |       37.3 kWh 	9.0 sec	150 km/h	245 km	152 Wh/km	410 km/h	Front Wheel Drive	4	EUR29.560	N/A
Mercedes EQC 400 4MATIC	Battery Electric Vehicle |       80 kWh	5.1 sec	180 km/h	370 km	216 Wh/km	440 km/h	All Wheel Drive	5	EUR66.069	BGP65.720
Kia e-Niro 64 kWh	Battery Electric Vehicle |       64 kWh	7.8 sec	167 km/h	370 km	173 Wh/km	350 km/h	Front Wheel Drive	5	EUR39.090	BGP32.445
Kia e-Niro 39 kWh	Battery Electric Vehicle |       39.2 kWh	9.8 sec	155 km/h	235 km	167 Wh/km	230 km/h	Front Wheel Drive	5	EUR35.290	BGP30.345
Citroen e-SpaceTourer XS 50 kWh	Battery Electric Vehicle |       45 kWh 	12.1 sec	130 km/h	185 km	243 Wh/km	250 km/h	Front Wheel Drive	7	EUR50.880	N/A
Citroen e-SpaceTourer M 50 kWh	Battery Electric Vehicle |       45 kWh 	12.1 sec	130 km/h	185 km	243 Wh/km	250 km/h	Front Wheel Drive	7	EUR51.440	BGP31.995
Citroen e-SpaceTourer XL 50 kWh	Battery Electric Vehicle |       45 kWh 	12.1 sec	130 km/h	180 km	250 Wh/km	240 km/h	Front Wheel Drive	7	EUR52.230	N/A
Citroen e-SpaceTourer M 75 kWh	Battery Electric Vehicle |       68 kWh 	13.3 sec	130 km/h	270 km	252 Wh/km	290 km/h	Front Wheel Drive	7	EUR57.440	N/A
Citroen e-SpaceTourer XL 75 kWh	Battery Electric Vehicle |       68 kWh 	13.3 sec	130 km/h	270 km	252 Wh/km	290 km/h	Front Wheel Drive	7	EUR58.230	N/A
Opel Zafira-e Life S 50 kWh	Battery Electric Vehicle |       45 kWh 	12.1 sec	130 km/h	185 km	243 Wh/km	250 km/h	Front Wheel Drive	7	EUR56.700	N/A
Opel Zafira-e Life M 50 kWh	Battery Electric Vehicle |       45 kWh 	12.1 sec	130 km/h	185 km	243 Wh/km	250 km/h	Front Wheel Drive	7	EUR53.800	N/A
Opel Zafira-e Life L 50 kWh	Battery Electric Vehicle |       45 kWh 	12.1 sec	130 km/h	180 km	250 Wh/km	240 km/h	Front Wheel Drive	7	EUR54.625	BGP49.465
Opel Zafira-e Life M 75 kWh	Battery Electric Vehicle |       68 kWh 	13.3 sec	130 km/h	270 km	252 Wh/km	290 km/h	Front Wheel Drive	7	EUR59.800	N/A
Opel Zafira-e Life L 75 kWh	Battery Electric Vehicle |       68 kWh 	13.3 sec	130 km/h	270 km	252 Wh/km	290 km/h	Front Wheel Drive	7	EUR60.625	N/A
Peugeot e-Traveller Compact 50 kWh	Battery Electric Vehicle |       45 kWh 	12.1 sec	130 km/h	185 km	243 Wh/km	250 km/h	Front Wheel Drive	7	EUR50.880	N/A
Peugeot e-Traveller Standard 50 kWh	Battery Electric Vehicle |       45 kWh 	13.1 sec	130 km/h	185 km	243 Wh/km	250 km/h	Front Wheel Drive	7	EUR55.900	BGP49.065
Peugeot e-Traveller Long 50 kWh	Battery Electric Vehicle |       45 kWh 	13.1 sec	130 km/h	185 km	243 Wh/km	250 km/h	Front Wheel Drive	7	EUR56.690	BGP49.905
Peugeot e-Traveller Standard 75 kWh	Battery Electric Vehicle |       68 kWh 	13.3 sec	130 km/h	270 km	252 Wh/km	290 km/h	Front Wheel Drive	7	EUR57.440	N/A
Peugeot e-Traveller Long 75 kWh	Battery Electric Vehicle |       68 kWh 	13.3 sec	130 km/h	270 km	252 Wh/km	290 km/h	Front Wheel Drive	7	EUR58.230	N/A
Audi e-tron 55 quattro	Battery Electric Vehicle |       86.5 kWh	5.7 sec	200 km/h	365 km	237 Wh/km	590 km/h	All Wheel Drive	5	EUR81.500	N/A
Audi e-tron Sportback 55 quattro	Battery Electric Vehicle |       86.5 kWh	5.7 sec	200 km/h	375 km	231 Wh/km	600 km/h	All Wheel Drive	5	EUR83.750	N/A
Seres 3 	Battery Electric Vehicle |       52 kWh 	8.9 sec	155 km/h	270 km	193 Wh/km	390 km/h	Front Wheel Drive	5	N/A	N/A
Hyundai IONIQ 5 Project 45	Battery Electric Vehicle |       72.6 kWh 	5.2 sec	185 km/h	370 km	196 Wh/km	860 km/h	All Wheel Drive	5	EUR59.550	BGP48.000
Porsche Taycan 	Battery Electric Vehicle |       71 kWh	5.4 sec	230 km/h	395 km	180 Wh/km	790 km/h	Rear Wheel Drive	4	EUR83.520	BGP70.690
Porsche Taycan Plus	Battery Electric Vehicle |       83.7 kWh	5.4 sec	230 km/h	460 km	182 Wh/km	960 km/h	Rear Wheel Drive	4	EUR89.244	BGP74.739
Tesla Model S Long Range	Battery Electric Vehicle |       90 kWh 	3.2 sec	250 km/h	555 km	162 Wh/km	830 km/h	All Wheel Drive	5	EUR86.990	BGP83.980
Tesla Model S Plaid	Battery Electric Vehicle |       90 kWh 	2.1 sec	322 km/h	535 km	168 Wh/km	800 km/h	All Wheel Drive	5	EUR126.990	BGP118.980
Tesla Model X Long Range	Battery Electric Vehicle |       90 kWh 	3.9 sec	250 km/h	475 km	189 Wh/km	710 km/h	All Wheel Drive	7	EUR95.990	BGP90.980
Tesla Model X Plaid	Battery Electric Vehicle |       90 kWh 	2.6 sec	262 km/h	455 km	198 Wh/km	680 km/h	All Wheel Drive	7	EUR116.990	BGP110.980
Mini Cooper SE 	Battery Electric Vehicle |       28.9 kWh	7.3 sec	150 km/h	185 km	156 Wh/km	260 km/h	Front Wheel Drive	4	EUR32.500	BGP26.000
JAC iEV7s 	Battery Electric Vehicle |       39 kWh	12.0 sec	132 km/h	225 km	173 Wh/km	160 km/h	Front Wheel Drive	5	N/A	N/A
Volkswagen ID.4 Pure Performance	Battery Electric Vehicle |       52 kWh	9.0 sec	160 km/h	285 km	182 Wh/km	410 km/h	Rear Wheel Drive	5	EUR38.450	BGP36.030
Audi e-tron GT quattro	Battery Electric Vehicle |       85 kWh	4.1 sec	245 km/h	420 km	202 Wh/km	840 km/h	All Wheel Drive	4	EUR99.800	BGP79.900
Volvo C40 Recharge	Battery Electric Vehicle |       75 kWh	4.7 sec	180 km/h	340 km	221 Wh/km	440 km/h	All Wheel Drive	5	EUR62.050	BGP57.400
Hyundai Kona Electric 39 kWh	Battery Electric Vehicle |       39.2 kWh	9.9 sec	155 km/h	250 km	157 Wh/km	210 km/h	Front Wheel Drive	5	EUR35.650	BGP27.950
Hyundai Kona Electric 64 kWh	Battery Electric Vehicle |       64 kWh	7.9 sec	167 km/h	395 km	162 Wh/km	370 km/h	Front Wheel Drive	5	EUR41.850	BGP32.550
Porsche Taycan 4S Cross Turismo	Battery Electric Vehicle |       83.7 kWh	4.1 sec	240 km/h	405 km	207 Wh/km	850 km/h	All Wheel Drive	4	EUR111.842	BGP87.820
Porsche Taycan Turbo Cross Turismo	Battery Electric Vehicle |       83.7 kWh	3.3 sec	250 km/h	385 km	217 Wh/km	800 km/h	All Wheel Drive	4	EUR154.444	BGP116.950
Porsche Taycan Turbo S Cross Turismo	Battery Electric Vehicle |       83.7 kWh	2.9 sec	250 km/h	380 km	220 Wh/km	790 km/h	All Wheel Drive	4	EUR187.746	BGP139.910
Kia EV6 GT	Battery Electric Vehicle |       77.4 kWh 	3.5 sec	260 km/h	395 km	196 Wh/km	920 km/h	All Wheel Drive	5	EUR65.990	BGP58.295
BMW iX xDrive40	Battery Electric Vehicle |       71 kWh	6.1 sec	200 km/h	350 km	203 Wh/km	470 km/h	All Wheel Drive	5	EUR77.300	BGP69.905
BMW iX xDrive50	Battery Electric Vehicle |       105.2 kWh	4.6 sec	200 km/h	505 km	208 Wh/km	620 km/h	All Wheel Drive	5	EUR98.000	BGP91.905
MG MG5 Electric	Battery Electric Vehicle |       57 kWh 	8.3 sec	180 km/h	340 km	168 Wh/km	440 km/h	Front Wheel Drive	5	EUR35.000	N/A
MG Marvel R Performance	Battery Electric Vehicle |       65 kWh 	4.9 sec	200 km/h	330 km	197 Wh/km	380 km/h	All Wheel Drive	5	EUR50.000	N/A
Hyundai IONIQ 5 Standard Range 2WD	Battery Electric Vehicle |       58 kWh 	8.5 sec	185 km/h	310 km	187 Wh/km	720 km/h	Rear Wheel Drive	5	EUR41.900	BGP36.995
Hyundai IONIQ 5 Standard Range AWD	Battery Electric Vehicle |       58 kWh 	6.1 sec	185 km/h	305 km	190 Wh/km	710 km/h	All Wheel Drive	5	EUR45.700	N/A
Hyundai IONIQ 5 Long Range 2WD	Battery Electric Vehicle |       72.6 kWh 	7.4 sec	185 km/h	385 km	189 Wh/km	890 km/h	Rear Wheel Drive	5	EUR45.100	BGP41.945
Hyundai IONIQ 5 Long Range AWD	Battery Electric Vehicle |       72.6 kWh 	5.2 sec	185 km/h	375 km	194 Wh/km	870 km/h	All Wheel Drive	5	EUR48.900	BGP45.145
Kia EV6 Standard Range 2WD	Battery Electric Vehicle |       58 kWh 	8.5 sec	185 km/h	320 km	181 Wh/km	740 km/h	Rear Wheel Drive	5	EUR44.990	BGP40.985
Kia EV6 Long Range 2WD	Battery Electric Vehicle |       77.4 kWh 	7.5 sec	185 km/h	420 km	184 Wh/km	980 km/h	Rear Wheel Drive	5	EUR54.990	BGP48.000
Kia EV6 Long Range AWD	Battery Electric Vehicle |       77.4 kWh 	5.4 sec	185 km/h	410 km	189 Wh/km	950 km/h	All Wheel Drive	5	EUR56.000	BGP52.000
Mercedes EQS 450+	Battery Electric Vehicle |       107.8 kWh	6.2 sec	210 km/h	640 km	168 Wh/km	840 km/h	Rear Wheel Drive	5	EUR106.374	BGP95.000
